video_id,stance_label,effect_label,knee_start,knee_min,knee_target,ankle_drag,ankle_min_dist,hip_tilt,jump,lateral_offset,arm_extension,non_dominant_arm_angle,hip_drive,shoulder_rotation,trunk_arch
flat_pinpoint_103_landmarks,0,0,168.74,144.97,167.15,23.5143,0.2589,0.9797,6.8047,0.5054,167.2977,178.97442397964096,4.8492,-16.8387,5.5765
flat_pinpoint_107_landmarks,0,0,160.42,144.11,157.38,2.0281,1.4618,0.6861,8.092,0.6803,167.2809,166.90888613641147,2.9115,-16.7237,4.8919
flat_pinpoint_113_landmarks,0,0,162.51,106.18,140.36,28.2208,0.0728,0.5855,4.6137,1.3002,167.4573,172.96398789436822,2.8057,-18.7935,1.3067
flat_pinpoint_126_landmarks,0,0,179.95,132.05,150.87,8.3358,0.2664,0.4859,19.4299,0.3864,165.5187,179.4692763169484,13.8139,-22.3984,5.3167
flat_pinpoint_127_landmarks,0,0,161.47,111.39,160.33,10.3122,0.2143,0.2475,4.7989,0.3795,168.1181,174.8106231502486,2.6229,5.8823,1.4078
flat_pinpoint_138_landmarks,0,0,179.98,136.63,159.86,41.5606,1.9039,0.0982,18.3956,1.0313,164.9106,177.86259185088784,14.0906,32.3205,4.2735
flat_pinpoint_139_landmarks,0,0,168.12,135.18,160.51,18.8102,1.3288,0.1929,12.7361,0.868,164.6994,166.4818371947608,4.4254,-34.6541,3.7577
flat_pinpoint_140_landmarks,0,0,178.46,148.81,151.92,10.7575,0.2931,0.9977,2.0,0.5175,178.555,172.46334715712365,0.2354,-31.4998,0.8734
flat_pinpoint_141_landmarks,0,0,164.66,148.3,158.52,5.2739,0.1654,0.2875,15.7794,0.3184,174.6011,161.22743902218872,5.9395,44.9446,7.0118
flat_pinpoint_200_pinpoint_flat_landmarks,0,0,179.99,133.94,137.71,36.6214,0.3945,0.9589,6.3023,0.5228,173.2913,166.92769453306178,2.365,-46.4277,1.0031
flat_pinpoint_203_pinpoint_flat_landmarks,0,0,179.97,121.89,148.56,16.4422,0.266,0.0945,13.6269,1.0965,170.5131,173.88757543065597,6.0772,-33.2328,2.6162
flat_pinpoint_207_pinpoint_flat_landmarks,0,0,179.99,134.25,169.4,92.8886,0.3665,0.2641,7.6682,0.7263,173.8378,174.44190147844688,3.1659,-63.8914,1.6551
flat_pinpoint_208_pinpoint_flat_landmarks,0,0,171.77,118.38,153.02,16.5515,0.0942,0.8159,7.7299,0.6152,172.0416,179.78501813203943,3.7128,-1.3293,1.5482
flat_pinpoint_209_pinpoint_flat_landmarks,0,0,179.99,131.79,151.62,37.6565,0.4794,0.0401,7.8688,0.7784,175.9679,173.42919192810132,3.2047,-45.6022,1.2864
flat_pinpoint_213_pinpoint_flat_landmarks,0,0,179.66,139.87,149.75,19.5676,0.0396,0.1008,7.8439,0.6155,175.1704,172.73780298298433,2.7608,-34.7787,1.5529
flat_pinpoint_214_pinpoint_flat_landmarks,0,0,178.77,129.64,155.33,191.3109,0.742,0.4275,7.2572,0.8079,175.2268,174.79961212045023,3.2124,-15.4919,1.0078
flat_pinpoint_219_pinpoint_flat_landmarks,0,0,179.6,132.61,134.31,12.8607,0.0403,0.9564,8.978,0.1555,169.5941,168.99467345902775,3.3225,-8.7388,1.1583
flat_pinpoint_221_pinpoint_flat_landmarks,0,0,166.2,130.9,136.51,35.2428,0.0316,0.4664,15.7916,0.6893,169.8891,169.8182247319414,4.5554,-12.7183,1.1545
flat_pinpoint_224_pinpoint_flat_landmarks,0,0,179.98,134.57,145.32,31.6251,0.222,0.1668,6.1206,1.1074,174.483,171.26757758101425,3.094,-39.2082,1.1734
flat_pinpoint_226_pinpoint_flat_landmarks,0,0,179.98,138.6,175.45,9.4572,0.2112,0.2529,27.8977,0.684,176.3472,171.4801052046077,13.637,5.6586,4.1425
flat_pinpoint_227_pinpoint_flat_landmarks,0,0,179.85,132.25,170.09,31.0043,0.059,0.2834,6.7147,1.2848,174.3662,169.83817635348316,3.3799,-4.9766,1.3562
flat_pinpoint_230_pinpoint_flat_landmarks,0,0,179.99,134.1,159.39,44.5335,0.2163,0.165,5.5133,1.1834,173.9779,171.92474746774838,2.5454,-27.6671,1.0753
flat_pinpoint_233_pinpoint_flat_landmarks,0,0,179.93,133.54,153.61,24.4056,0.0873,0.2473,6.3235,1.0765,174.0629,172.44619663196386,3.064,-41.4672,1.1022
flat_pinpoint_234_pinpoint_flat_landmarks,0,0,173.91,133.75,149.87,33.5261,0.094,0.5127,9.4741,0.9279,174.1789,172.2747706226224,5.3681,-32.8505,1.1052
